"name","Incubation","Wild","Benthic","Pelagic","CharlesBrown","CrooksCastle","Pelagic.CB","Pelagic.CC","Benthic.CB","Benthic.CC"
1,"Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned","Portibacter","Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned","Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_unassigned","Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned","Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned","Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_unassigned","Archaea_Crenarchaeota_Nitrososphaeria_Nitrosopumilales_Nitrosopumilaceae_unassigned","Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned","Bacteria_Acidobacteriota_Thermoanaerobaculia_Thermoanaerobaculales_Thermoanaerobaculaceae_unassigned"
2,"Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Actinomarinales_unassigned_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Actinomarinales_unassigned_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Actinomarinales_unassigned_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Actinomarinales_unassigned_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned"
3,"Corynebacterium","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_unassigned_unassigned","Portibacter","Corynebacterium","Corynebacterium","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Corynebacterium","Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_Microtrichaceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Portibacter"
4,"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Maribacter","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Cutibacterium","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Corynebacterium","Vibrionimonas","Corynebacterium","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_unassigned_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned"
5,"Muricauda","Muricauda","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_unassigned_unassigned","Vibrionimonas","Bacteria_Bdellovibrionota_Bdellovibrionia_Bdellovibrionales_Bdellovibrionaceae_unassigned","Cutibacterium","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Kocuria","Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_unassigned_unassigned"
6,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_unassigned","Winogradskyella","Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_unassigned","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Bacteria_Cyanobacteria_Vampirivibrionia_Obscuribacterales_Obscuribacteraceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Bacteria_Bdellovibrionota_Oligoflexia_0319-6G20_unassigned_unassigned","Cutibacterium","Muricauda","Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_unassigned"
7,"Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Hyphomonadaceae_unassigned","Muricauda","Bacteria_Bdellovibrionota_Oligoflexia_0319-6G20_unassigned_unassigned","Bacteria_Planctomycetota_Phycisphaerae_Phycisphaerales_Phycisphaeraceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_unassigned_unassigned","Streptococcus","Marinifilum","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Muricauda"
8,"Bacteria_Bdellovibrionota_Oligoflexia_0319-6G20_unassigned_unassigned","Filomicrobium","Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_unassigned","Streptococcus","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Parvularculaceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Cytophagales_Cyclobacteriaceae_unassigned","Staphylococcus","Asinibacterium","Bdellovibrio","Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_unassigned"
9,"Staphylococcus","Actibacterium","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned","Staphylococcus","Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales_unassigned_unassigned","Muricauda","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_unassigned","Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Saprospiraceae_unassigned","Bacteria_Bdellovibrionota_Bdellovibrionia_Bdellovibrionales_Bdellovibrionaceae_unassigned","Bacteria_Bacteroidota_Rhodothermia_Rhodothermales_Rhodothermaceae_unassigned"
10,"Bacteria_Planctomycetota_Phycisphaerae_Phycisphaerales_Phycisphaeraceae_unassigned","Ruegeria","Bdellovibrio","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales_Caulobacteraceae_unassigned","Labrenzia","Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Kiloniellales_Kiloniellaceae_unassigned","Aquibacter","Calorithrix","Bacteria_Bdellovibrionota_Bdellovibrionia_Bdellovibrionales_Bdellovibrionaceae_unassigned"
