"","x"
"1","[Eubacterium] coprostanoligenes group"
"2","01D2Z36"
"3","37-13"
"4","4572-13"
"5","67-14"
"6","A0839"
"7","A4b"
"8","AB-539-J10"
"9","AB1"
"10","Abditibacteriaceae"
"11","Acanthopleuribacteraceae"
"12","Acaryochloridaceae"
"13","Acetobacteraceae"
"14","Acholeplasmataceae"
"15","Acidaminococcaceae"
"16","Acidiferrobacteraceae"
"17","Acidithiobacillaceae"
"18","Acidobacteriaceae (Subgroup 1)"
"19","Actinomarinaceae"
"20","Actinomycetaceae"
"21","AEGEAN-169 marine group"
"22","Aerococcaceae"
"23","Aeromonadaceae"
"24","AKAU3564 sediment group"
"25","AKIW781"
"26","Akkermansiaceae"
"27","AKYG1722"
"28","AKYH767"
"29","Alcaligenaceae"
"30","Alcanivoracaceae"
"31","Alcanivoracaceae1"
"32","Algiphilaceae"
"33","Alicyclobacillaceae"
"34","Alkaliphilus"
"35","Alteromonadaceae"
"36","Altiarchaeaceae"
"37","Amoebophilaceae"
"38","Anaerolineaceae"
"39","Anaeromicrobium"
"40","Anaeromyxobacteraceae"
"41","Anaerovoracaceae"
"42","Anaplasmataceae"
"43","Aquaspirillaceae"
"44","Arcobacteraceae"
"45","Arctic95B-14"
"46","Ardenticatenaceae"
"47","Arenicellaceae"
"48","Atopobiaceae"
"49","Azospirillaceae"
"50","B122"
"51","B5-096"
"52","Babeliaceae"
"53","bac2nit3"
"54","Bacillaceae"
"55","Bacteriovoracaceae"
"56","Bacteroidaceae"
"57","Bacteroidales RF16 group"
"58","Bacteroidetes BD2-2"
"59","Balneolaceae"
"60","Barnesiellaceae"
"61","BBMC-4"
"62","BD2-3"
"63","BD2-7"
"64","Bdellovibrionaceae"
"65","Beggiatoaceae"
"66","Beijerinckiaceae"
"67","Bernardetiaceae"
"68","Beutenbergiaceae"
"69","Bifidobacteriaceae"
"70","BIrii41"
"71","Blastocatellaceae"
"72","Blattabacteriaceae"
"73","Bogoriellaceae"
"74","Brevibacteriaceae"
"75","Brevinemataceae"
"76","Bryobacteraceae"
"77","BSV26"
"78","Burkholderiaceae"
"79","Butyricicoccaceae"
"80","C2U"
"81","C8S-102"
