"","x"
"1","[Caedibacter] taeniospiralis group"
"2","[Desulfobacterium] catecholicum group"
"3","[Eubacterium] brachy group"
"4","[Eubacterium] eligens group"
"5","[Eubacterium] nodatum group"
"6","[Eubacterium] ventriosum group"
"7","[Eubacterium] xylanophilum group"
"8","[Rhizobium] sphaerophysae group"
"9","[Ruminococcus] torques group"
"10","1174-901-12"
"11","A714019"
"12","Abditibacterium"
"13","Abiotrophia"
"14","Abyssivirga"
"15","Acanthopleuribacter"
"16","Acaryochloris MBIC11017"
"17","Acetanaerobacterium"
"18","Acetobacter"
"19","Achromobacter"
"20","Acidibacter"
"21","Acidiphilium"
"22","Acidipropionibacterium"
"23","Acidisphaera"
"24","Acidovorax"
"25","Acinetobacter"
"26","Acrophormium PCC-7375"
"27","Actibacter"
"28","Actibacterium"
"29","Actimicrobium"
"30","Actinobacillus"
"31","Actinomyces"
"32","Actinomycetospora"
"33","Actinoplanes"
"34","Acuticoccus"
"35","Adhaeribacter"
"36","Aequorivita"
"37","Aerococcus"
"38","Aeromicrobium"
"39","Aeromonas"
"40","Aestuariibacter"
"41","Aestuariibius"
"42","Aestuariicella"
"43","Aestuariicoccus"
"44","Aestuariimicrobium"
"45","Aestuariimonas"
"46","Aestuariispira"
"47","Aestuariivita"
"48","Aestuariivivens"
"49","Afipia"
"50","Agaribacter"
"51","Agaribacterium"
"52","Agaricicola"
"53","Agarilytica"
"54","Agarivorans"
"55","Agrococcus"
"56","Agromyces"
"57","Ahniella"
"58","Ahrensia"
"59","Akkermansia"
"60","AKYG587"
"61","Albidovulum"
"62","Albimonas"
"63","Albirhodobacter"
"64","Alcaligenes"
"65","Alcanivorax"
"66","Algibacter"
"67","Algicola"
"68","Algimonas"
"69","Algiphilus"
"70","Algisphaera"
"71","Algitalea"
"72","Algivirga"
"73","Algorimarina"
"74","Algoriphagus"
"75","Aliagarivorans"
"76","Alicyclobacillus"
"77","Aliidongia"
"78","Aliifodinibius"
"79","Aliiglaciecola"
"80","Aliikangiella"
"81","Aliiroseovarius"
"82","Aliivibrio"
"83","Alishewanella"
"84","Alistipes"
"85","Aliterella"
"86","Alkalimarinus"
"87","Alkalinema CENA528"
"88","Alkalispirochaeta"
"89","Alkanibacter"
"90","Alkanindiges"
"91","Allofrancisella"
"92","Alloiococcus"
"93","Alloprevotella"
"94","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"95","alphaI cluster"
"96","Altererythrobacter"
"97","Alterococcus"
"98","Alteromonas"
"99","Alysiella"
"100","Amaricoccus"
"101","Aminobacter"
"102","Amnibacterium"
"103","Amorphus"
"104","Amphiplicatus"
"105","Amphritea"
"106","Amylibacter"
"107","Anaerobacterium"
"108","Anaerococcus"
"109","Anaerocolumna"
"110","Anaeroglobus"
"111","Anaerolineaceae UCG-001"
"112","Anaeromyxobacter"
"113","Anaeroplasma"
"114","Anaerospora"
"115","Anaerosporobacter"
"116","Anaerostipes"
"117","Ancylobacter"
"118","Anderseniella"
"119","Angustibacter"
"120","Annamia HOs24"
"121","Anoxybacillus"
"122","Antarcticibacterium"
"123","Antarctobacter"
"124","AqS1"
"125","Aquabacterium"
"126","Aquamicrobium"
"127","Aquamonas"
"128","Aquibacter"
"129","Aquicella"
"130","Aquimarina"
"131","Aquipuribacter"
"132","Aquisphaera"
"133","AR15"
"134","Arboricoccus"
"135","Arcanobacterium"
"136","Arcicella"
"137","Arcticibacter"
"138","Arcticiflavibacter"
"139","Arenibacter"
"140","Arenicella"
"141","Arenimonas"
"142","Arsenicibacter"
"143","Arsenophonus"
"144","Arthrobacter"
"145","Arthrospira PCC-7345"
"146","Asaccharospora"
"147","Ascidiaceihabitans"
"148","Ascidiimonas"
"149","Asinibacterium"
"150","Asticcacaulis"
"151","Atelocyanobacterium (UCYN-A)"
"152","Atopobium"
"153","Atopostipes"
"154","Aurantiacicella"
"155","Aurantimonas"
"156","Aurantisolimonas"
"157","Aurantivirga"
"158","Aureibacter"
"159","Aureicoccus"
"160","Aureimarina"
"161","Aureimonas"
"162","Aureisphaera"
"163","Aureispira"
"164","Aureitalea"
"165","Aureivirga"
"166","Auricoccus-Abyssicoccus"
"167","Azoarcus"
"168","Azohydromonas"
"169","Azospirillum"
"170","B2706-C7"
"171","Bacillus"
"172","Bacteroides"
"173","Balneola"
"174","Bauldia"
"175","BD1-7 clade"
"176","Bdellovibrio"
"177","Beggiatoa"
