"","x"
"1","0319-6G20"
"2","053A03-B-DI-P58"
"3","11-24"
"4","113B434"
"5","661239"
"6","Abditibacteriales"
"7","Absconditabacteriales (SR1)"
"8","Acanthopleuribacterales"
"9","Acetobacterales"
"10","Acholeplasmatales"
"11","Acidaminococcales"
"12","Acidiferrobacterales"
"13","Acidithiobacillales"
"14","Acidobacteriales"
"15","Actinomarinales"
"16","Actinomycetales"
"17","ADurb.Bin180"
"18","Aenigmarchaeales"
"19","Alicyclobacillales"
"20","Alphaproteobacteria Incertae Sedis"
"21","Altiarchaeales"
"22","Aminicenantales"
"23","Amsterdam-1B-07"
"24","Anaerolineales"
"25","Ardenticatenales"
"26","Arenicellales"
"27","Armatimonadales"
"28","AT-s16"
"29","AT-s2-59"
"30","AT-s3-44"
"31","Azospirillales"
"32","B108"
"33","B2M28"
"34","Babeliales"
"35","Bacillales"
"36","Bacteriovoracales"
"37","Bacteroidales"
"38","Bacteroidetes VC2.1 Bac22"
"39","Balneolales"
"40","BD7-8"
"41","BD72BR169"
"42","Bdellovibrionales"
"43","Beggiatoales"
"44","Bifidobacteriales"
"45","Blastocatellales"
"46","Blfdi19"
"47","Brachyspirales"
"48","Bradymonadales"
"49","Brevinematales"
"50","Bryobacterales"
"51","Burkholderiales"
"52","C0119"
"53","C86"
"54","Caedibacterales"
"55","Caenarcaniphilales"
"56","Calderihabitantales"
"57","Caldicoprobacterales"
"58","Caldilineales"
"59","Caldisericales"
"60","Calditrichales"
"61","Campylobacterales"
"62","Candidatus Abawacabacteria"
"63","Candidatus Buchananbacteria"
"64","Candidatus Campbellbacteria"
"65","Candidatus Chisholmbacteria"
"66","Candidatus Collierbacteria"
"67","Candidatus Colwellbacteria"
"68","Candidatus Falkowbacteria"
"69","Candidatus Gottesmanbacteria"
"70","Candidatus Jorgensenbacteria"
"71","Candidatus Kaiserbacteria"
"72","Candidatus Kerfeldbacteria"
"73","Candidatus Komeilibacteria"
"74","Candidatus Kuenenbacteria"
"75","Candidatus Liptonbacteria"
"76","Candidatus Lloydbacteria"
"77","Candidatus Magasanikbacteria"
"78","Candidatus Moranbacteria"
"79","Candidatus Nomurabacteria"
"80","Candidatus Pacebacteria"
"81","Candidatus Peregrinibacteria"
"82","Candidatus Peribacteria"
"83","Candidatus Ryanbacteria"
"84","Candidatus Terrybacteria"
"85","Candidatus Uhrbacteria"
"86","Candidatus Woesebacteria"
"87","Candidatus Yanofskybacteria"
"88","Candidatus Yonathbacteria"
"89","Candidatus Zambryskibacteria"
"90","Cardiobacteriales"
"91","Caulobacterales"
"92","CCM11a"
"93","CG1-02-40-25"
"94","CH2b56"
"95","CHAB-XI-27"
"96","Chitinivibrionales"
"97","Chitinophagales"
"98","Chlamydiales"
"99","Chlorobiales"
"100","Chloroflexales"
"101","Christensenellales"
"102","Chromatiales"
"103","Chthoniobacterales"
"104","Cloacimonadales"
"105","Clostridia UCG-014"
"106","Clostridia vadinBB60 group"
