"Df" "SumOfSqs" "R2" "F" "Pr(>F)" ""
"Habitat" 1 39280.5947544824 0.102619603440848 6.75146609056703 1e-04 0.00075
"Location" 1 15895.9562605241 0.0415278011436396 2.73216356169908 1e-04 0.00075
"Backbone" 2 12674.7241292591 0.0331124101352433 1.08925247569246 0.277 0.7305
"Treatment" 1 5111.1634748498 0.0133527909184873 0.878496038552355 0.7209 0.7305
"Habitat:Location" 1 11088.5835041085 0.028968656127145 1.90588243351041 0.0042 0.021
"Habitat:Backbone" 2 11962.7000438712 0.0312522644388879 1.02806187384173 0.3928 0.7305
"Location:Backbone" 2 11155.6164758887 0.0291437781441242 0.958701959925632 0.5539 0.7305
"Habitat:Treatment" 1 5303.2154990073 0.0138545221850895 0.911505536927533 0.6128 0.7305
"Location:Treatment" 1 5089.82899858583 0.0132970551154142 0.874829113599804 0.7305 0.7305
"Backbone:Treatment" 1 5573.50769582209 0.0145606540098151 0.957962791781895 0.4983 0.7305
"Habitat:Location:Backbone" 2 10562.2440041283 0.0275936069177116 0.907708153095486 0.6695 0.7305
"Habitat:Location:Treatment" 1 5591.10122926059 0.014606616690265 0.960986731342019 0.4788 0.7305
"Habitat:Backbone:Treatment" 1 5644.04454911547 0.0147449298324744 0.970086517914917 0.4694 0.7305
"Location:Backbone:Treatment" 1 5605.07740620754 0.014643129114399 0.963388927269114 0.4851 0.7305
"Habitat:Location:Backbone:Treatment" 1 5335.04249007878 0.0139376694292411 0.916975893278472 0.6062 0.7305
"Residual" 39 226905.263964105 0.592784512357215 NA NA NA
"Total" 58 382778.664479294 1 NA NA NA
