"Df" "SumOfSqs" "R2" "F" "Pr(>F)" ""
"Habitat" 2 50989.3231401031 0.120609118861434 4.69842830374237 1e-04 0.00075
"Location" 1 15893.2252945193 0.0375935152810571 2.92897316390509 1e-04 0.00075
"Backbone" 2 12683.4962275847 0.0300012867377753 1.16872501920356 0.1736 0.5608
"Treatment" 1 5109.02805562256 0.0120847921501893 0.941546211750806 0.541 0.5608
"Habitat:Location" 1 11145.9231053149 0.0263643422160283 2.05408965502269 0.0022 0.011
"Habitat:Backbone" 2 12002.9164949293 0.028391457133939 1.10601277118891 0.2566 0.5608
"Location:Backbone" 2 11158.3473290263 0.0263937302247738 1.02818966177748 0.4004 0.5608
"Habitat:Treatment" 1 5304.64632761825 0.0125475036742032 0.977596834480129 0.4448 0.5608
"Location:Treatment" 1 5091.14114495659 0.012042482811651 0.938249820970776 0.5608 0.5608
"Backbone:Treatment" 1 5576.55730324474 0.0131906764240935 1.0277074908021 0.3513 0.5608
"Habitat:Location:Backbone" 2 10574.506227365 0.0250127242319511 0.974391427402094 0.5147 0.5608
"Habitat:Location:Treatment" 1 5597.66281624947 0.0132405989798338 1.03159703996885 0.3276 0.5608
"Habitat:Backbone:Treatment" 1 5652.42664530463 0.0133701362390296 1.04168950280649 0.3304 0.5608
"Location:Backbone:Treatment" 1 5621.33068260617 0.0132965824746287 1.03595880695579 0.3361 0.5608
"Habitat:Location:Backbone:Treatment" 1 5332.64461552553 0.0126137302609898 0.982756657763072 0.4516 0.5608
"Residual" 47 255031.899249798 0.603247322298422 NA NA NA
"Total" 67 422765.074659768 1 NA NA NA
