"OTU.ID" "Mean.blank" "NIOZ164.1.1" "NIOZ164.1.10" "NIOZ164.1.11" "NIOZ164.1.12" "NIOZ164.1.13" "NIOZ164.1.14" "NIOZ164.1.15" "NIOZ164.1.2" "NIOZ164.1.3" "NIOZ164.1.4" "NIOZ164.1.5" "NIOZ164.1.6" "NIOZ164.1.7" "NIOZ164.1.8" "NIOZ164.1.9" "NIOZ164.2.1" "NIOZ164.2.10" "NIOZ164.2.11" "NIOZ164.2.12" "NIOZ164.2.13" "NIOZ164.2.14" "NIOZ164.2.2" "NIOZ164.2.3" "NIOZ164.2.4" "NIOZ164.2.5" "NIOZ164.2.6" "NIOZ164.2.7" "NIOZ164.2.8" "NIOZ164.2.9" "NIOZ164.3.1" "NIOZ164.3.10" "NIOZ164.3.11" "NIOZ164.3.12" "NIOZ164.3.13" "NIOZ164.3.14" "NIOZ164.3.15" "NIOZ164.3.2" "NIOZ164.3.3" "NIOZ164.3.4" "NIOZ164.3.5" "NIOZ164.3.6" "NIOZ164.3.7" "NIOZ164.3.8" "NIOZ164.3.9" "NIOZ164.4.1" "NIOZ164.4.10" "NIOZ164.4.11" "NIOZ164.4.12" "NIOZ164.4.13" "NIOZ164.4.14" "NIOZ164.4.2" "NIOZ164.4.3" "NIOZ164.4.4" "NIOZ164.4.5" "NIOZ164.4.6" "NIOZ164.4.7" "NIOZ164.4.8" "NIOZ164.4.9" "NIOZ164.5.1" "NIOZ164.5.10" "NIOZ164.5.11" "NIOZ164.5.12" "NIOZ164.5.2" "NIOZ164.5.3" "NIOZ164.5.4" "NIOZ164.5.5" "NIOZ164.5.6" "NIOZ164.5.7" "NIOZ164.5.8" "NIOZ164.5.9" "NIOZ164.6.1" "NIOZ164.6.2" "NIOZ164.6.3" "NIOZ164.6.4" "NIOZ164.6.5" "NIOZ164.6.6" "NIOZ164.6.7" "NIOZ164.7.1" "NIOZ164.7.2" "NIOZ164.7.3" "NIOZ164.7.4" "NIOZ164.7.5" "NIOZ164.7.6" "NIOZ164.7.7" "NIOZ164.7.8" "NIOZ164.7.9" "taxonomy"
"1" "asv.1" 1016.85036533406 411 167 506 3215 8 136 34 28 678 393 871 228 431 233 330 37586 143 NA 25 273 20 39620 756 787 574 437 171 64 417 879 1272 796 2629 2822 339 179 2477 25438 447 2676 1780 846 2737 5169 3 19 46 10 5251 22 47 NA 782 203 239 523 60 14 4 112 881 38 1671 565 180 271 629 89 144 147 NA 4 NA NA 2 NA NA 11642 NA 15 673 19 33 79 2192 144 "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;acnes/avidum"
"2" "asv.111" 48.5928414901388 NA NA 455 581 NA NA NA 177 NA NA 528 NA 250 1269 NA NA NA NA NA NA NA NA NA NA NA 723 NA NA NA NA NA NA NA 847 87 NA NA NA 84 NA NA NA 96 NA 2 NA NA NA 545 NA NA NA NA NA NA NA NA NA NA 8 NA NA 116 22 177 24 116 26 13 8 1 NA NA NA NA NA NA NA NA NA NA 7 NA NA NA NA "Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;albigilva/nasdae/vesicularis"
"3" "asv.11253" 247.829198861326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;NA"
"4" "asv.12" 1067.00365230095 958 2630 1473 3205 6 NA 10 1 1438 170 2246 1882 865 936 2842 1409 60 275 80 70 NA 1836 257 323 NA 13 NA 18 1822 726 1144 1427 2359 1548 306 NA 2618 115 2000 3768 1466 340 1045 1654 NA 3 4 5 882 9 136 NA 1697 1283 61 250 NA 2 NA 4 2148 2 44 46 NA 3 NA 1 5 NA NA NA NA NA NA NA NA 2157 NA NA 1381 19 128 22 390 NA "Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;NA"
"5" "asv.13180" 70.3406866325785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;NA"
"6" "asv.134" 288.158948137327 463 NA NA NA NA NA NA NA NA NA 256 NA NA NA NA NA 18 NA 9 NA 15 NA NA NA NA NA NA NA NA NA NA 26 NA NA NA NA 1260 NA NA NA NA NA 259 NA NA NA NA 3 748 76 295 NA 12 NA NA 133 5 NA NA NA NA NA NA 31 NA NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;taiwanensis"
"7" "asv.14" 306.168882395909 663 2754 310 13546 32 367 22 1232 204 1950 1991 2033 1021 1307 841 7494 17 NA NA 9 NA 1377 NA 350 946 514 228 38 NA 616 604 NA 587 1644 NA 148 NA 3485 NA NA 171 81 NA 393 NA 13 NA 8 600 4 NA NA 347 2004 42 NA 10 1 NA 4 NA 3 101 78 97 13 20 22 19 12 NA 2 NA NA NA NA NA 240 NA NA 2380 NA NA NA 572 12 "Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Micrococcus;alkanovora/aloeverae/endophyticus/flavus/indicus/luteus/thailandicus/yunnanensis"
"8" "asv.14057" 63.2046749452155 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;NA;NA"
"9" "asv.1418" 584.574217161448 NA 535 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;timonensis"
"10" "asv.14284" 171.21024806832 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Patescibacteria;Parcubacteria;Candidatus Kaiserbacteria;NA;NA;NA"
"11" "asv.14425" 60.4861943024105 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava;NA"
