Fatty Acid	s.b.d0yd	s.b.j0yd	s.b.k0yd	s.b.f0yd	s.b.vmzd	s.b.zmzd	s.b.bnzd	s.b.wmzd	s.b.44yd	s.b.34yd	s.b.84yd	s.b.74yd	s.b.4nzd	s.b.7nzd	s.b.3nzd	s.b.8nzd	s.b.l5yd	s.b.apzd	s.b.1nzd	s.b.n5yd	s.b.j5yd	s.b.6nzd	s.b.9nzd	s.b.p5yd	s.b.xmzd	s.b.ymzd	s.b.cnzd	s.b.dnzd	s.b.tmzd	s.b.54yd	s.b.64yd	s.b.p5yd	s.b.a5yd
C14:1	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.019	0.010	0.004	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C14:0	0.004	0.014	0.031	0.010	0.032	0.010	0.023	0.055	0.030	0.031	0.031	0.044	0.044	0.039	0.055	0.039	0.039	0.039	0.006	0.024	0.038	0.036	0.029	0.029	0.038	0.037	0.035	0.023	0.022	0.002	0.009	0.008	0.037
C15-?5c	0.001	0.001	0.008	0.002	0.011	0.000	0.009	0.013	0.004	0.003	0.002	0.008	0.007	0.008	0.002	0.007	0.005	0.000	0.000	0.012	0.000	0.001	0.004	0.004	0.003	0.003	0.002	0.003	0.005	0.002	0.002	0.004	0.004
C15:1	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.010	0.007	0.005	0.003	0.009	0.003	0.004	0.003	0.003	0.004	0.011	0.000	0.003	0.000	0.002	0.002	0.003	0.005	0.012	0.008	0.007	0.012	0.001	0.005	0.002	0.005
C15:0	0.007	0.010	0.015	0.011	0.018	0.013	0.020	0.060	0.025	0.025	0.015	0.017	0.013	0.015	0.010	0.016	0.016	0.029	0.000	0.011	0.032	0.012	0.017	0.017	0.018	0.024	0.022	0.016	0.019	0.002	0.011	0.010	0.018
C16:1	0.006	0.000	0.000	0.000	0.033	0.010	0.018	0.025	0.000	0.007	0.000	0.000	0.002	0.004	0.000	0.005	0.003	0.010	0.000	0.004	0.000	0.004	0.002	0.002	0.012	0.011	0.006	0.000	0.000	0.002	0.011	0.006	0.012
C16:1-?7c	0.007	0.000	0.025	0.040	0.000	0.014	0.018	0.031	0.022	0.016	0.021	0.046	0.080	0.046	0.133	0.056	0.039	0.008	0.055	0.040	0.000	0.069	0.023	0.021	0.006	0.008	0.007	0.004	0.000	0.008	0.003	0.051	0.003
C16:0	0.429	0.470	0.434	0.413	0.284	0.403	0.471	0.000	0.439	0.440	0.403	0.338	0.437	0.359	0.393	0.456	0.394	0.402	0.000	0.428	0.126	0.451	0.466	0.450	0.387	0.438	0.415	0.413	0.437	0.229	0.423	0.423	0.342
C17:1	0.006	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.002	0.000	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003	0.000	0.009
C17:0	0.012	0.010	0.009	0.011	0.008	0.000	0.013	0.035	0.019	0.021	0.011	0.013	0.012	0.017	0.006	0.014	0.011	0.015	0.031	0.012	0.041	0.011	0.009	0.011	0.007	0.000	0.017	0.025	0.020	0.008	0.016	0.031	0.022
C18:1 w9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C18:1-6,9,12c	0.003	0.000	0.000	0.005	0.219	0.117	0.052	0.169	0.047	0.052	0.056	0.017	0.025	0.022	0.096	0.019	0.038	0.066	0.043	0.014	0.024	0.031	0.008	0.011	0.093	0.023	0.038	0.024	0.009	0.003	0.013	0.018	0.015
C18:1-?9c	0.086	0.065	0.120	0.085	0.167	0.131	0.090	0.161	0.080	0.091	0.095	0.110	0.074	0.054	0.080	0.048	0.052	0.081	0.095	0.060	0.087	0.068	0.033	0.038	0.089	0.054	0.073	0.077	0.054	0.011	0.057	0.075	0.099
C18:1-?9t	0.017	0.003	0.000	0.033	0.000	0.020	0.000	0.017	0.030	0.025	0.038	0.012	0.056	0.101	0.044	0.060	0.030	0.000	0.236	0.089	0.020	0.064	0.031	0.045	0.005	0.004	0.007	0.008	0.000	0.294	0.006	0.055	0.021
C18:0 	0.423	0.426	0.338	0.390	0.220	0.276	0.286	0.425	0.269	0.274	0.320	0.384	0.246	0.330	0.179	0.275	0.365	0.340	0.534	0.302	0.630	0.251	0.375	0.370	0.336	0.384	0.369	0.400	0.423	0.437	0.442	0.319	0.413
