Fatty Acid	s.b.d0yd	s.b.j0yd	s.b.k0yd	s.b.f0yd	s.b.vmzd	s.b.zmzd	s.b.bnzd	s.b.wmzd	s.b.44yd	s.b.34yd	s.b.84yd	s.b.74yd	s.b.4nzd	s.b.7nzd	s.b.3nzd	s.b.8nzd	s.b.l5yd	s.b.apzd	s.b.1nzd	s.b.n5yd	s.b.j5yd	s.b.6nzd	s.b.9nzd	s.b.xmzd	s.b.ymzd	s.b.cnzd	s.b.dnzd	s.b.tmzd	s.b.54yd	s.b.64yd	s.b.p5yd	s.b.a5yd
C14:1	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.019	0.010	5.880	0.000	0.000	0.000	0.000	0.000	3.967	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C14:0	0.004	0.014	0.031	0.010	0.032	0.010	0.023	0.055	0.030	0.031	45.975	54.279	84.933	25.667	258.253	64.960	131.320	20.065	3.453	43.957	11.480	95.457	48.624	38.660	27.917	28.922	13.855	13.769	3.890	6.979	7.093	42.245
C15-w5c	0.001	0.001	0.008	0.002	0.011	0.000	0.009	0.013	0.004	0.003	3.094	9.440	14.005	5.381	10.097	11.263	17.687	0.000	0.000	22.688	0.000	3.703	6.801	3.441	2.290	2.002	1.522	2.906	3.303	1.365	3.654	4.112
C15:1	0.000	0.000	0.000	0.000	0.000	0.007	0.000	0.010	0.007	0.005	4.781	11.120	6.094	2.905	12.300	5.569	12.995	5.970	0.000	6.018	0.000	5.978	3.468	5.128	8.980	6.353	3.984	7.594	2.042	3.647	1.800	5.713
C15:0	0.007	0.010	0.015	0.011	0.018	0.013	0.020	0.060	0.025	0.025	21.563	21.590	24.281	9.801	47.250	26.063	54.656	14.990	0.000	20.892	9.656	31.234	28.916	18.177	18.338	18.220	9.669	12.218	4.969	7.974	9.375	20.555
C16:1	0.006	0.000	0.000	0.000	0.033	0.010	0.018	0.025	0.000	0.007	0.000	0.000	4.488	2.383	0.000	8.000	9.129	5.082	0.000	6.541	0.000	9.492	3.611	12.476	8.565	4.988	0.000	0.000	4.301	8.376	5.271	13.176
C16:1-w7c	0.007	0.000	0.025	0.040	0.000	0.014	0.018	0.031	0.022	0.016	31.812	57.109	155.539	30.080	621.862	93.045	132.818	4.047	31.059	72.253	0.000	181.588	39.670	6.400	6.024	5.459	2.272	0.000	15.317	2.541	47.989	3.127
C16:0	0.429	0.470	0.434	0.413	0.284	0.403	0.471	0.000	0.439	0.440	596.706	417.537	848.395	234.758	1843.953	763.242	1333.271	209.475	0.000	777.246	38.212	1192.376	788.895	393.291	328.112	339.482	243.686	275.106	464.936	316.753	398.444	390.347
C17:1	0.006	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	1.100	0.000	5.553	10.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.041	0.000	10.623
C17:0	0.012	0.010	0.009	0.011	0.008	0.000	0.013	0.035	0.019	0.021	15.806	16.650	23.063	11.050	26.841	22.645	35.870	7.683	17.378	22.050	12.467	28.513	16.061	7.147	0.000	13.973	14.678	12.317	17.044	12.335	29.439	24.823
C18:1-w9	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
"C18:1-w6,9,12c"	0.003	0.000	0.000	0.005	0.219	0.117	0.052	0.169	0.047	0.052	83.274	20.827	49.380	14.488	448.105	32.348	127.954	34.195	24.442	25.720	7.389	82.573	14.366	94.595	17.041	31.380	14.418	5.355	6.770	9.425	16.706	17.385
C18:1-w9c	0.086	0.065	0.120	0.085	0.167	0.131	0.090	0.161	0.080	0.091	141.442	135.732	144.632	35.074	374.305	80.195	174.979	41.955	54.000	109.294	26.432	180.947	55.137	90.758	40.668	59.763	45.358	33.704	22.925	42.474	70.927	113.225
C18:1-w9t	0.017	0.003	0.000	0.033	0.000	0.020	0.000	0.017	0.030	0.025	56.842	15.253	108.635	66.115	208.137	100.580	102.091	0.000	133.863	161.521	6.158	169.444	52.285	5.392	3.285	5.874	4.990	0.000	597.531	4.320	51.398	23.794
C18:0 	0.423	0.426	0.338	0.390	0.220	0.276	0.286	0.425	0.269	0.274	474.442	474.455	478.137	215.978	837.474	461.368	1234.800	177.236	302.684	548.913	190.611	664.303	634.594	341.365	287.317	302.124	236.250	266.269	886.680	330.793	300.884	471.641
