Fatty Acid	s.b.d0yd	s.b.j0yd	s.b.k0yd	s.b.f0yd	s.b.vmzd	s.b.zmzd	s.b.wmzd	s.b.44yd	s.b.34yd	s.b.84yd	s.b.74yd	s.b.4nzd	s.b.7nzd	s.b.3nzd	s.b.8nzd	s.b.l5yd	s.b.apzd	s.b.1nzd	s.b.n5yd	s.b.j5yd	s.b.6nzd	s.b.9nzd	s.b.p5yd	s.b.xmzd	s.b.ymzd	s.b.cnzd	s.b.dnzd	s.b.tmzd	s.b.54yd	s.b.64yd	s.b.p5yd	s.b.a5yd
C14:1		9.469	-10.151																													
C14:0			162.170	-16.540	-29.585	1.607	-6.429	148.500	68.036	38.464	50.357	-20.778	124.539	-9.857	-23.203	-18.857	-26.786		-22.929	-26.761	-26.036	-25.900	-27.000	-26.304	-27.000	-27.000	-26.571	-26.133	-22.500	-26.571		-25.500
C15-w5c			582.453					6402.000				-16.813		-20.400	-1.179		-26.800		-18.267			-23.200	-21.000		-26.555	-31.067						
C15:1		17.920								-44.400											-26.267											
C15:0			716.330	-19.382	-31.926	49.531	-19.333	378.853	131.653	79.440		-9.622		-19.155	-24.495	-25.598	-25.413		-23.600			-26.500	-26.000	-27.333	-27.440	-27.333	-27.440	-26.811	-23.067	-24.347	-19.760	-25.200
C16:1																																
C16:1-w7c		-24.997	536.721	-21.713			-30.000	10626.875	40.656	4251.875	2126.875	-21.748		-22.398		-17.098	-26.706	-24.101	-25.750			-27.400	-23.500						-21.713			
C16:0	-27.726		131.020	-27.663	-27.082	-4.532	-20.756		41.687	33.431	19.938	-24.269	36.088	-24.507	-24.156	-24.794	-26.690	-26.983	-27.875	-27.637	-26.813	-27.400	-27.700	-26.813	-27.179	-26.494	-26.706	-26.473	-27.344	-27.344	-24.581	-23.944
C17:1		49.376															-23.859															
C17:0				-18.053			3.882	954.706	363.882	386.753		2.837		-15.622	-23.859		-27.353	-26.288	-26.824		-27.459	-25.000		-27.353		-26.294	-27.141	-26.406	-23.647	-25.235	-20.047	
C18:1-w9										-30.000																						
C18:1-w6,9,12c		-16.213	56.429	-21.379	-29.573	-35.594	-19.444	-36.238	-30.000	-12.372		-26.306		-29.472		-27.704	-30.317	-27.427	-26.094		-30.317	-28.400	-27.200	-29.894	-30.000	-27.889	-29.472		-27.467	-28.628		
C18:1-w9c	-21.700	-19.339	372.241	-23.229	-29.261	-29.894	-5.722	4.762	-13.639	371.111		-24.310	65.000	-29.826	-25.075	-25.100	-27.783	-25.966	-24.722		-27.783	-26.700	-27.400	-29.367	-27.256	-27.889	-28.311	-27.814	-26.411	-26.200	-22.822	-26.306
C18:1-w9t		-25.626							191.667	3168.333		-24.374	68.167	-28.364		3.461			-23.667			-28.400	-22.800						-22.506		-19.867	
C18:0 	-29.388	-23.368	12.062	-29.466	-27.664	-23.350	-25.883	12.059	-4.139	0.611	28.056	-26.997	41.604	-28.651	-26.200	-25.039	-26.939	-28.241	-28.944	-27.392	-26.939	-28.200	-28.300	-27.572	-27.511	-26.306	-28.522	-26.639	-27.467	-27.994	-26.622	-24.511
C19:0 (standard!)	-29.895	-23.368	-11.316	-30.945	-31.474	-30.316	-24.295	-22.978	-27.895	-19.895	38.421	-30.956	7.579	-31.646	-29.521	-28.421	-29.421	-30.368	-30.211	-29.946	-29.474	-30.500	-30.200	-29.789	-29.579	-30.000	-29.968	-29.994	-29.053	-29.684	-30.316	-31.158
