#SampleID	InputFileName	Description	Location	Habitat	Polymer	Isotope	Backbone	Treatment	Method	Phase
NIOZ164.1.1	515F.Golay1.926R.BC2.fasta	CCW_PE	Crooks_Castle	Pelagic	PE	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.1.2	515F.Golay3.926R.BC4.fasta	CCW_PE_UV	Crooks_Castle	Pelagic	PE	12C	Carbon	UV	Incubation	Disc
NIOZ164.1.3	515F.Golay5.926R.BC6.fasta	CCW_PP	Crooks_Castle	Pelagic	PP	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.1.4	515F.Golay7.926R.BC8.fasta	CCW_PP_UV	Crooks_Castle	Pelagic	PP	12C	Carbon	UV	Incubation	Disc
NIOZ164.1.5	515F.Golay9.926R.BC10.fasta	CCW_PE13	Crooks_Castle	Pelagic	PE	13C	Carbon	no_UV	Incubation	Disc
NIOZ164.1.6	515F.Golay11.926R.BC12.fasta	CCW_PE13_UV	Crooks_Castle	Pelagic	PE	13C	Carbon	UV	Incubation	Disc
NIOZ164.1.7	515F.Golay13.926R.BC14.fasta	CCW_PP13	Crooks_Castle	Pelagic	PP	13C	Carbon	no_UV	Incubation	Disc
NIOZ164.1.8	515F.Golay15.926R.BC16.fasta	CCW_PP13_UV	Crooks_Castle	Pelagic	PP	13C	Carbon	UV	Incubation	Disc
NIOZ164.1.9	515F.Golay17.926R.BC18.fasta	CCW_PS	Crooks_Castle	Pelagic	PS	12C	Carbon	no_UV	Incubation	Disc
NIOZ164.1.10	515F.Golay19.926R.BC20.fasta	CCW_PS_UV	Crooks_Castle	Pelagic	PS	12C	Carbon	UV	Incubation	Disc
NIOZ164.1.11	515F.Golay21.926R.BC22.fasta	CCW_PET	Crooks_Castle	Pelagic	PET	12C	Hetero	no_UV	Incubation	Disc
NIOZ164.1.12	515F.Golay23.926R.BC24.fasta	CCW_PET_UV	Crooks_Castle	Pelagic	PET	12C	Hetero	UV	Incubation	Disc
NIOZ164.1.13	515F.Golay25.926R.BC26.fasta	CCW_Nyl	Crooks_Castle	Pelagic	Nyl	12C	Hetero	no_UV	Incubation	Disc
NIOZ164.1.14	515F.Golay27.926R.BC28.fasta	CCW_Nyl _UV	Crooks_Castle	Pelagic	Nyl	12C	Hetero	UV	Incubation	Disc
