Sample	Description	Location	Habitat	Polymer	Treatment
s.b.xmzd	PE_noUV_SD_CB	Charles Brown	Benthic	PE	noUV
s.b.ymzd	PE_UV_SD_CB	Charles Brown	Benthic	PE	UV
s.b.6nzd	PE_UV_WC_CB	Charles Brown	Pelagic	PE	UV
s.b.vmzd	PE-13C_noUV_SD_CB	Charles Brown	Benthic	PE-13C	noUV
s.b.3nzd	PE-13C_noUV_WC_CB	Charles Brown	Pelagic	PE-13C	noUV
s.b.wmzd	PE-13C_UV_SD_CB	Charles Brown	Benthic	PE-13C	UV
s.b.4nzd	PE-13C_UV_WC_CB	Charles Brown	Pelagic	PE-13C	UV
s.b.cnzd	PP_noUV_SD_CB	Charles Brown	Benthic	PP	noUV
s.b.9nzd	PP_noUV_WC_CB	Charles Brown	Pelagic	PP	noUV
s.b.dnzd	PP_UV_SD_CB	Charles Brown	Benthic	PP	UV
s.b.apzd	PP_UV_WC_CB	Charles Brown	Pelagic	PP	UV
s.b.zmzd	PP-13C_noUV_SD_CB	Charles Brown	Benthic	PP-13C	noUV
s.b.7nzd	PP-13C_noUV_WC_CB	Charles Brown	Pelagic	PP-13C	noUV
s.b.bnzd	PP-13C_UV_SD_CB	Charles Brown	Benthic	PP-13C	UV
s.b.8nzd	PP-13C_UV_WC_CB	Charles Brown	Pelagic	PP-13C	UV
s.b.54yd	PE_noUV_SD_CC	Crooks Castle 	Benthic	PE	noUV
s.b.f0yd	PE_noUV_WC_CC	Crooks Castle 	Pelagic	PE	noUV
s.b.64yd	PE_UV_SD_CC	Crooks Castle 	Benthic	PE	UV
s.b.d0yd	PE_UV_WC_CC	Crooks Castle 	Pelagic	PE	UV
s.b.34yd	PE-13C_noUV_SD_CC	Crooks Castle 	Benthic	PE-13C	noUV
s.b.j0yd	PE-13C_noUV_WC_CC	Crooks Castle 	Pelagic	PE-13C	noUV
s.b.44yd	PE-13C_UV_SD_CC	Crooks Castle 	Benthic	PE-13C	UV
s.b.k0yd	PE-13C_UV_WC_CC	Crooks Castle 	Pelagic	PE-13C	UV
s.b.p5yd	PP_noUV_WC_CC	Crooks Castle 	Pelagic	PP	noUV
s.b.a5yd	PP_UV_SD_CC	Crooks Castle 	Benthic	PP	UV
s.b.n5yd	PP_UV_WC_CC	Crooks Castle 	Pelagic	PP	UV
s.b.74yd	PP-13C_noUV_SD_CC	Crooks Castle 	Benthic	PP-13C	noUV
s.b.l5yd	PP-13C_noUV_WC_CC	Crooks Castle 	Pelagic	PP-13C	noUV
s.b.84yd	PP-13C_UV_SD_CC	Crooks Castle 	Benthic	PP-13C	UV
s.b.1nzd	Si_noUV_WC_CB	Charles Brown	Pelagic	Si	noUV
s.b.j5yd	Si_noUV_WC_CC	Crooks Castle 	Pelagic	Si	noUV
s.b.tmzd	Si_noUV_SD_CB	Charles Brown	Benthic	Si	noUV
